Rank	Title	Worldwide Lifetime Gross	Domestic Lifetime Gross	 Domestic % 	Foreign Lifetime Gross	 Foreign % 	Year
319	Mamma Mia! Here We Go Again	402254384	120634935	 0.30 	281619449	 0.70 	2018
320	Eternals	402064899	164870234	 0.41 	237194665	 0.59 	2021
321	Dune	400375904	108031945	 0.27 	292343959	 0.73 	2021
322	TRON: Legacy	400063852	172062763	 0.43 	228001089	 0.57 	2010
323	Mission: Impossible III	398479497	134029801	 0.34 	264449696	 0.66 	2006
324	Snow White and the Huntsman	396592829	155332381	 0.39 	241260448	 0.61 	2012
325	Grease	396271103	190071103	 0.48 	206200000	 0.52 	1978
326	Toy Story	394436586	223225679	 0.57 	171210907	 0.43 	1995
327	Solo: A Star Wars Story	392924807	213767512	 0.54 	179157295	 0.46 	2018
328	The Wolf of Wall Street	392000694	116900694	 0.30 	275100000	 0.70 	2013
329	Superman Returns	391081192	200081192	 0.51 	191000000	 0.49 	2006
330	Robin Hood: Prince of Thieves	390493908	165493908	 0.42 	225000000	 0.58 	1991
331	Indiana Jones and the Raiders of the Lost Ark	389925971	248159971	 0.64 	141766000	 0.36 	1981
332	Independence Day: Resurgence	389681935	103144286	 0.26 	286537649	 0.74 	2016
333	Live Free or Die Hard	388156011	134529403	 0.35 	253626608	 0.65 	2007
334	Monster Hunt	387053506	32766	 0.00 	387020740	 1.00 	2015
335	Godzilla: King of the Monsters	386600138	110500138	 0.29 	276100000	 0.71 	2019
336	Home	386041607	177397510	 0.46 	208644097	 0.54 	2015
337	Star Trek	385680446	257730019	 0.67 	127950427	 0.33 	2009
338	1917	384919389	159227644	 0.41 	225691745	 0.59 	2019
339	Happy Feet	384336108	198000317	 0.52 	186335791	 0.48 	2006
340	Cars 3	383930656	152901115	 0.40 	231029541	 0.60 	2017
341	Ice Age	383257136	176387405	 0.46 	206869731	 0.54 	2002
342	Back to the Future	381906762	211406762	 0.55 	170500000	 0.45 	1985
343	Fifty Shades Darker	381545846	114581250	 0.30 	266964596	 0.70 	2017
344	Monsters vs Aliens	381509870	198351526	 0.52 	183158344	 0.48 	2009
345	Black Widow	379751655	183651655	 0.48 	196100000	 0.52 	2021
346	Godzilla	379014294	136314294	 0.36 	242700000	 0.64 	1998
347	True Lies	378882411	146282411	 0.39 	232600000	 0.61 	1994
348	Slumdog Millionaire	378410542	141319928	 0.37 	237090614	 0.63 	2008
349	Taken 2	376152455	139854287	 0.37 	236298168	 0.63 	2012
350	GI Joe: Retaliation	375740705	122523060	 0.33 	253217645	 0.67 	2013
351	Mad Max: Fury Road	375658750	154058340	 0.41 	221600410	 0.59 	2015
352	Spider0Man: Into the Spider0Verse	375540831	190241310	 0.51 	185299521	 0.49 	2018
353	Shark Tale	374583879	160861908	 0.43 	213721971	 0.57 	2004
354	Once Upon a Time In Hollywood	374565754	142502728	 0.38 	232063026	 0.62 	2019
355	What Women Want	374111707	182811707	 0.49 	191300000	 0.51 	2000
356	The Adventures of Tintin	373993951	77591831	 0.21 	296402120	 0.79 	2011
357	Batman Begins	373661946	206852432	 0.55 	166809514	 0.45 	2005
358	Penguins of Madagascar	373515621	83850911	 0.22 	289664710	 0.78 	2014
359	X0Men Origins: Wolverine	373062864	179883157	 0.48 	193179707	 0.52 	2009
360	The Golden Compass	372234864	70107728	 0.19 	302127136	 0.81 	2007
361	Fifty Shades Freed	371987838	100407760	 0.27 	271580078	 0.73 	2018
362	Hitch	371594210	179495555	 0.48 	192098655	 0.52 	2005
363	Terminator Salvation	371353001	125322469	 0.34 	246030532	 0.66 	2009
364	Captain America: The First Avenger	370569774	176654505	 0.48 	193915269	 0.52 	2011
365	Edge of Tomorrow	370541256	100206256	 0.27 	270335000	 0.73 	2014
366	There's Something About Mary	369884651	176484651	 0.48 	193400000	 0.52 	1998
367	Gone Girl	369330363	167767189	 0.45 	201563174	 0.55 	2014
368	The Fugitive	368875760	183875760	 0.50 	185000000	 0.50 	1993
369	Jurassic Park III	368780809	181171875	 0.49 	187608934	 0.51 	2001
370	My Big Fat Greek Wedding	368744044	241438208	 0.65 	127305836	 0.35 	2002
371	Hello Mr Billionaire	366961907	0	0.00	366961907	 1.00 	2018
372	Die Hard with a Vengeance	366101666	100012499	 0.27 	266089167	 0.73 	1995
373	Shazam!	365971656	140371656	 0.38 	225600000	 0.62 	2019
374	The Nun	365551694	117450119	 0.32 	248101575	 0.68 	2018
375	Alvin and the Chipmunks	365352546	217326974	 0.59 	148025572	 0.41 	2007
376	Notting Hill	363889678	116089678	 0.32 	247800000	 0.68 	1999
377	Tenet	363656624	58456624	 0.16 	305200000	 0.84 	2020
378	A Bug's Life	363258859	162798565	 0.45 	200460294	 0.55 	1998
379	Night at the Museum: Secret of the Tomb	363204635	113746621	 0.31 	249458014	 0.69 	2014
380	Ocean's Twelve	362744280	125544280	 0.35 	237200000	 0.65 	2004
381	Planet of the Apes	362211740	180011740	 0.50 	182200000	 0.50 	2001
382	The Hangover Part III	362000072	112200072	 0.31 	249800000	 0.69 	2013
383	The World Is Not Enough	361832400	126943684	 0.35 	234888716	 0.65 	1999
384	Monster Hunt 2	361682618	706153	 0.00 	360976465	 1.00 	2018
385	Fast & Furious	360366870	155064265	 0.43 	205302605	 0.57 	2009
386	Noah	359200044	101200044	 0.28 	258000000	 0.72 	2014
387	The Karate Kid	359126022	176591618	 0.49 	182534404	 0.51 	2010
388	Home Alone 2: Lost in New York	358994850	173585516	 0.48 	185409334	 0.52 	1992
389	Hotel Transylvania	358375603	148313048	 0.41 	210062555	 0.59 	2012
390	Minority Report	358372926	132072926	 0.37 	226300000	 0.63 	2002
391	Your Name	358180115	5017246	 0.01 	353162869	 0.99 	2016
392	Top Gun	357288178	180258178	 0.50 	177030000	 0.50 	1986
393	The Legend of Tarzan	356700357	126643061	 0.36 	230057296	 0.64 	2016
394	American Beauty	356296601	130096601	 0.37 	226200000	 0.63 	1999
395	Spirited Away	355697283	13750644	 0.04 	341946639	 0.96 	2001
396	Apollo 13	355237933	173837933	 0.49 	181400000	 0.51 	1995
397	Rain Man	354825435	172825435	 0.49 	182000000	 0.51 	1988
398	The Great Gatsby	353642274	144840419	 0.41 	208801855	 0.59 	2013
399	Dumbo	353284621	114766307	 0.32 	238518314	 0.68 	2019
400	I Robot	353133898	144801023	 0.41 	208332875	 0.59 	2004
401	Basic Instinct	352927224	117727224	 0.33 	235200000	 0.67 	1992
402	Murder on the Orient Express	352794081	102826543	 0.29 	249967538	 0.71 	2017
403	X0Men: First Class	352616690	146408305	 0.42 	206208385	 0.58 	2011
404	The Angry Birds Movie	352333929	107509366	 0.31 	244824563	 0.69 	2016
405	GoldenEye	352194034	106429941	 0.30 	245764093	 0.70 	1995
406	Catch Me If You Can	352114312	164615351	 0.47 	187498961	 0.53 	2002
407	Now You See Me	351723989	117723989	 0.33 	234000000	 0.67 	2013
408	Hannibal	351692268	165092268	 0.47 	186600000	 0.53 	2001
409	The Mask	351583407	119938730	 0.34 	231644677	 0.66 	1994
410	Peter Rabbit	351496066	115253424	 0.33 	236242642	 0.67 	2018
411	Speed	350448145	121248145	 0.35 	229200000	 0.65 	1994
412	Dinosaur	349822765	137748063	 0.39 	212074702	 0.61 	2000
413	Mary Poppins Returns	349546142	171958438	 0.49 	177587704	 0.51 	2018
414	Deep Impact	349464664	140464664	 0.40 	209000000	 0.60 	1998
415	The Lorax	348840316	214030500	 0.61 	134809816	 0.39 	2012
416	The Maze Runner	348319861	102427862	 0.29 	245891999	 0.71 	2014
417	The Smurfs 2	347545360	71017784	 0.20 	276527576	 0.80 	2013
418	National Treasure	347512318	173008894	 0.50 	174503424	 0.50 	2004
419	Rush Hour 2	347325802	226164286	 0.65 	121161516	 0.35 	2001
420	Trolls	346864886	153707064	 0.44 	193157822	 0.56 	2016
421	xXx: Return of Xander Cage	346118277	44898413	 0.13 	301219864	 0.87 	2017
422	Pocahontas	346079773	141579773	 0.41 	204500000	 0.59 	1995
423	How the Grinch Stole Christmas	345573032	260465005	 0.75 	85108027	 0.25 	2000
424	Star Trek Beyond	343471816	158848340	 0.46 	184623476	 0.54 	2016
425	Alvin and the Chipmunks: Chipwrecked	342695435	133110742	 0.39 	209584693	 0.61 	2011
426	Wanted	342463063	134508551	 0.39 	207954512	 0.61 	2008
427	The Flintstones	341631208	130531208	 0.38 	211100000	 0.62 	1994
428	A Quiet Place	340952971	188024361	 0.55 	152928610	 0.45 	2018
429	Enchanted	340487836	127807262	 0.38 	212680574	 0.62 	2007
430	Over the Hedge	339795890	155019340	 0.46 	184776550	 0.54 	2006
431	300: Rise of an Empire	337580051	106580051	 0.32 	231000000	 0.68 	2014
432	Batman Forever	336567158	184069126	 0.55 	152498032	 0.45 	1995
433	Prince of Persia: The Sands of Time	336365676	90759676	 0.27 	245606000	 0.73 	2009
434	The Curious Case of Benjamin Button	335802786	127509326	 0.38 	208293460	 0.62 	2008
435	Journey 2: The Mysterious Island	335260290	103860290	 0.31 	231400000	 0.69 	2012
436	The Rock	335062621	134069511	 0.40 	200993110	 0.60 	1996
437	The Great Wall	334933831	45540830	 0.14 	289393001	 0.86 	2016
438	Now You See Me 2	334897606	65075540	 0.19 	269822066	 0.81 	2016
439	Never Say Die	334530869	0	0.00	334530869	 1.00 	2017
440	Sing 2	333814755	148338755	 0.44 	185476000	 0.56 	2021
441	Fantastic Four	333535934	154696080	 0.46 	178839854	 0.54 	2005
442	Indiana Jones and the Temple of Doom	333107271	179870271	 0.54 	153237000	 0.46 	1984
443	Tomorrow Never Dies	333011068	125304276	 0.38 	207706792	 0.62 	1997
444	Back to the Future Part II	332500002	119000002	 0.36 	213500000	 0.64 	1989
445	The Good Dinosaur	332207671	123087120	 0.37 	209120551	 0.63 	2015
446	Free Guy	331526598	121626598	 0.37 	209900000	 0.63 	2021
447	22 Jump Street	331333876	191719337	 0.58 	139614539	 0.42 	2014
448	Meet the Parents	330444045	166244045	 0.50 	164200000	 0.50 	2000
449	Who Framed Roger Rabbit	329803958	156452370	 0.47 	173351588	 0.53 	1988
450	Black Swan	329398046	106954678	 0.32 	222443368	 0.68 	2010
451	The Perfect Storm	328718434	182618434	 0.56 	146100000	 0.44 	2000
452	Crocodile Dundee	328203506	174803506	 0.53 	153400000	 0.47 	1986
453	Crazy Alien	327598891	0	0.00	327598891	 1.00 	2019
454	Se7en	327333559	100125643	 0.31 	227207916	 0.69 	1995
455	John Wick: Chapter 3 0 Parabellum	327281779	171015687	 0.52 	156266092	 0.48 	2019
456	The Devil Wears Prada	326706115	124740460	 0.38 	201965655	 0.62 	2006
457	Taken 3	326479141	89256424	 0.27 	237222717	 0.73 	2015
458	The Hunchback of Notre Dame	325338851	100138851	 0.31 	225200000	 0.69 	1996
459	A Christmas Carol	325286646	137855863	 0.42 	187430783	 0.58 	2009
460	The SpongeBob Movie: Sponge Out of Water	325186032	162994032	 0.50 	162192000	 0.50 	2015
461	Schindler's List	322161245	96898818	 0.30 	225262427	 0.70 	1993
462	Megamind	321885765	148415853	 0.46 	173469912	 0.54 	2010
463	The Conjuring 2	321788219	102470008	 0.32 	219318211	 0.68 	2016
464	Green Book	321752656	85080171	 0.26 	236672485	 0.74 	2018
465	Lethal Weapon 3	321731527	144731527	 0.45 	177000000	 0.55 	1992
466	The Ugly Truth	321682600	88915214	 0.28 	232767386	 0.72 	2009
467	Robin Hood	321669741	105269730	 0.33 	216400011	 0.67 	2010
468	Inglourious Basterds	321457747	120540719	 0.37 	200917028	 0.63 	2009
469	101 Dalmatians	320689294	136189294	 0.42 	184500000	 0.58 	1996
470	The Conjuring	320360015	137400141	 0.43 	182959874	 0.57 	2013
471	Fatal Attraction	320145693	156645693	 0.49 	163500000	 0.51 	1987
472	Sonic the Hedgehog	319715683	148974665	 0.47 	170741018	 0.53 	2020
473	The Last Airbender	319713881	131772187	 0.41 	187941694	 0.59 	2010
474	The Proposal	317375031	163958031	 0.52 	153417000	 0.48 	2009
475	A Beautiful Mind	316791257	170742341	 0.54 	146048916	 0.46 	2001
476	Beverly Hills Cop	316360478	234760478	 0.74 	81600000	 0.26 	1984
477	Air Force One	315156409	172956409	 0.55 	142200000	 0.45 	1997
478	The Expendables 2	314975955	85028192	 0.27 	229947763	 0.73 	2012
479	Chicken Little	314432837	135386665	 0.43 	179046172	 0.57 	2005
480	The Polar Express	314215454	187935490	 0.60 	126279964	 0.40 	2004
481	As Good as It Gets	314178011	148478011	 0.47 	165700000	 0.53 	1997
482	Maze Runner: The Scorch Trials	312296056	81697192	 0.26 	230598864	 0.74 	2015
483	Resident Evil: The Final Chapter	312242626	26830068	 0.09 	285412558	 0.91 	2016
484	Austin Powers: The Spy Who Shagged Me	312016928	206040086	 0.66 	105976842	 0.34 	1999
485	The Lego Batman Movie	311950384	175750384	 0.56 	136200000	 0.44 	2017
486	Knives Out	311605581	165363234	 0.53 	146242347	 0.47 	2019
487	Ocean's Thirteen	311312624	117154724	 0.38 	194157900	 0.62 	2007
488	Little Fockers	310650585	148438600	 0.48 	162211985	 0.52 	2010
489	Bolt	309979994	114053579	 0.37 	195926415	 0.63 	2008
490	Ransom	309492681	136492681	 0.44 	173000000	 0.56 	1996
491	Runaway Bride	309460292	152257509	 0.49 	157202783	 0.51 	1999
492	The Blind Side	309208309	255959475	 0.83 	53248834	 0.17 	2009
493	The Ex0File 3: The Return of The Exes	307592427	838959	 0.00 	306753468	 1.00 	2017
494	The Fault in Our Stars	307166834	124872350	 0.41 	182294484	 0.59 	2014
495	The Pursuit of Happyness	307127625	163566459	 0.53 	143561166	 0.47 	2006
496	Rise of the Guardians	306941670	103412758	 0.34 	203528912	 0.66 	2012
497	Close Encounters of the Third Kind	306889114	135189114	 0.44 	171700000	 0.56 	1977
498	Chicago	306776732	170687518	 0.56 	136089214	 0.44 	2002
499	Annabelle: Creation	306515884	102092201	 0.33 	204423683	 0.67 	2017
500	Wonder	306209289	132422809	 0.43 	173786480	 0.57 	2017
501	Skyscraper	304868961	68420120	 0.22 	236448841	 0.78 	2018
502	A Good Day to Die Hard	304654182	67349198	 0.22 	237304984	 0.78 	2013
503	Mulan	304320254	120620254	 0.40 	183700000	 0.60 	1998
504	Dangal	303723636	12391761	 0.04 	291331875	 0.96 	2016
505	Passengers	303144152	100014699	 0.33 	203129453	 0.67 	2016
506	Battleship	303025485	65422625	 0.22 	237602860	 0.78 	2012
507	Liar Liar	302710615	181410615	 0.60 	121300000	 0.40 	1997
508	GI Joe: The Rise of Cobra	302469017	150201498	 0.50 	152267519	 0.50 	2009
509	Wrath of the Titans	301970083	83670083	 0.28 	218300000	 0.72 	2012
510	Fantastic 4: Rise of the Silver Surfer	301913131	131921738	 0.44 	169991393	 0.56 	2007
511	Hook	300854823	119654823	 0.40 	181200000	 0.60 	1991
512	Rocky IV	300473716	127873716	 0.43 	172600000	 0.57 	1985
513	Superman	300451603	134451603	 0.45 	166000000	 0.55 	1978
514	Rambo: First Blood Part II	300400432	150415432	 0.50 	149985000	 0.50 	1985
515	Resident Evil: Afterlife	300228084	60128566	 0.20 	240099518	 0.80 	2010
516	Van Helsing	300157638	120177084	 0.40 	179980554	 0.60 	2004
517	Stuart Little	300135367	140035367	 0.47 	160100000	 0.53 	1999
518	Beverly Hills Cop II	299965036	153665036	 0.51 	146300000	 0.49 	1987
519	Alice Through the Looking Glass	299820798	77041381	 0.26 	222779417	 0.74 	2016
520	My Best Friend's Wedding	299288605	127120029	 0.42 	172168576	 0.58 	1997
521	Real Steel	299268508	85468508	 0.29 	213800000	 0.71 	2011
522	Horton Hears a Who!	298572799	154529439	 0.52 	144043360	 0.48 	2008
523	Ocean's Eight	297718711	140218711	 0.47 	157500000	 0.53 	2018
524	A Quiet Place Part II	297372261	160072261	 0.54 	137300000	 0.46 	2021
525	The Divergent Series: Insurgent	297002527	130179072	 0.44 	166823455	 0.56 	2015
526	Look Who's Talking	296999813	140088813	 0.47 	156911000	 0.53 	1989
527	Austin Powers in Goldmember	296938801	213307889	 0.72 	83630912	 0.28 	2002
528	Ghostbusters	296578797	243578797	 0.82 	53000000	 0.18 	1984
529	Miss Peregrine's Home for Peculiar Children	296482446	87242834	 0.29 	209239612	 0.71 	2016
530	X0Men	296339528	157299718	 0.53 	139039810	 0.47 	2000
531	Ferdinand	296069199	84410380	 0.29 	211658819	 0.71 	2017
532	Shutter Island	294805697	128012934	 0.43 	166792763	 0.57 	2010
533	Doctor Dolittle	294456605	144156605	 0.49 	150300000	 0.51 	1998
534	Bee Movie	293514336	126631277	 0.43 	166883059	 0.57 	2007
535	Salt	293503354	118311368	 0.40 	175191986	 0.60 	2010
536	G0Force	292817898	119436770	 0.41 	173381128	 0.59 	2009
537	The Departed	291465373	132384315	 0.45 	159081058	 0.55 	2006
538	What Lies Beneath	291420351	155464351	 0.53 	135956000	 0.47 	2000
539	Pacific Rim: Uprising	290930148	59874525	 0.21 	231055623	 0.79 	2018
540	The Bourne Supremacy	290835269	176241941	 0.61 	114593328	 0.39 	2004
541	Sex and the City 2	290745055	95347692	 0.33 	195397363	 0.67 	2010
542	Shakespeare in Love	289317794	100317794	 0.35 	189000000	 0.65 	1998
543	Divergent	288885818	150947895	 0.52 	137937923	 0.48 	2014
544	Coming to America	288752301	128152301	 0.44 	160600000	 0.56 	1988
545	Wedding Crashers	288467645	209255921	 0.73 	79211724	 0.27 	2005
546	Bridesmaids	288383523	169106725	 0.59 	119276798	 0.41 	2011
547	Maze Runner: The Death Cure	288175335	58032443	 0.20 	230142892	 0.80 	2018
548	Casper	287928194	100328194	 0.35 	187600000	 0.65 	1995
549	American Pie 2	287553595	145103595	 0.50 	142450000	 0.50 	2001
550	Pitch Perfect 2	287144079	184296230	 0.64 	102847849	 0.36 	2015
551	The Green Mile	286801374	136801374	 0.48 	150000000	 0.52 	1999
552	Oblivion	286168572	89107235	 0.31 	197061337	 0.69 	2013
553	Elysium	286140700	93050117	 0.33 	193090583	 0.67 	2013
554	Lethal Weapon 4	285444603	130444603	 0.46 	155000000	 0.54 	1998
555	John Carter	284139100	73078100	 0.26 	211061000	 0.74 	2012
556	Turbo	282570682	83028128	 0.29 	199542554	 0.71 	2013
557	Paddington	282377683	76271832	 0.27 	206105851	 0.73 	2014
558	Bridget Jones's Diary	281995610	71543427	 0.25 	210452183	 0.75 	2001
559	The Tourist	278780441	67631157	 0.24 	211149284	 0.76 	2010
560	Split	278454417	138291365	 0.50 	140163052	 0.50 	2017
561	Scary Movie	278019771	157019771	 0.56 	121000000	 0.44 	2000
562	xXx	277448382	142109382	 0.51 	135339000	 0.49 	2002
563	The Bourne Legacy	276144750	113203870	 0.41 	162940880	 0.59 	2012
564	Mr Peabody & Sherman	275698039	111506430	 0.40 	164191609	 0.60 	2014
565	Scooby0Doo	275650703	153294164	 0.56 	122356539	 0.44 	2002
566	Lincoln	275293450	182207973	 0.66 	93085477	 0.34 	2012
567	Lara Croft: Tomb Raider	274703340	131168070	 0.48 	143535270	 0.52 	2001
568	Tomb Raider	274650803	58250803	 0.21 	216400000	 0.79 	2018
569	The Expendables	274470394	103068524	 0.38 	171401870	 0.62 	2010
570	Cloudy with a Chance of Meatballs 2	274325949	119793567	 0.44 	154532382	 0.56 	2013
571	The Nutty Professor	273961019	128814019	 0.47 	145147000	 0.53 	1996
572	Jerry Maguire	273552592	153952592	 0.56 	119600000	 0.44 	1996
573	Bad Boys II	273339556	138608444	 0.51 	134731112	 0.49 	2003
574	Lilo & Stitch	273144151	145794338	 0.53 	127349813	 0.47 	2002
575	The Silence of the Lambs	272742922	130742922	 0.48 	142000000	 0.52 	1991
576	Grown Ups	271457301	162001186	 0.60 	109456115	 0.40 	2010
577	Neighbors	270665134	150157400	 0.55 	120507734	 0.45 	2014
578	The Firm	270248367	158348367	 0.59 	111900000	 0.41 	1993
579	We're the Millers	269994119	150394119	 0.56 	119600000	 0.44 	2012
580	Gran Torino	269958228	148095302	 0.55 	121862926	 0.45 	2008
581	10000 BC	269784201	94784201	 0.35 	175000000	 0.65 	2008
582	American Gangster	269755430	130164645	 0.48 	139590785	 0.52 	2007
583	Epic	268426634	107518682	 0.40 	160907952	 0.60 	2013
584	Exodus: Gods and Kings	268175631	65014513	 0.24 	203161118	 0.76 	2014
585	Bambi	267447150	102247150	 0.38 	165200000	 0.62 	1942
586	The Princess and the Frog	267045765	104400899	 0.39 	162644866	 0.61 	2009
587	Batman Returns	266892996	162902340	 0.61 	103990656	 0.39 	1992
588	Indecent Proposal	266614059	106614059	 0.40 	160000000	 0.60 	1993
589	Something's Gotta Give	265328738	124728738	 0.47 	140600000	 0.53 	2003
590	Bridget Jones: The Edge of Reason	265126918	40226215	 0.15 	224900703	 0.85 	2004
591	The Incredible Hulk	264770996	134806913	 0.51 	129964083	 0.49 	2008
592	Waterworld	264218220	88246220	 0.33 	175972000	 0.67 	1995
593	The Truman Show	264118201	125618201	 0.48 	138500000	 0.52 	1998
594	Charlie's Angels	264105545	125305545	 0.47 	138800000	 0.53 	2000
595	The Fifth Element	263920180	63820180	 0.24 	200100000	 0.76 	1997
596	Parasite	263020130	53369749	 0.20 	209650381	 0.80 	2019
597	Jumanji	262821940	100499940	 0.38 	162322000	 0.62 	1995
598	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	262552893	128505958	 0.49 	134046935	 0.51 	2006
599	Robots	262511490	128200012	 0.49 	134311478	 0.51 	2005
600	Knight and Day	261989769	76423035	 0.29 	185566734	 0.71 	2008
601	Total Recall	261317921	119412921	 0.46 	141905000	 0.54 	1990
602	This Is It	261183588	72091016	 0.28 	189092572	 0.72 	2009
603	Terminator: Dark Fate	261119292	62253077	 0.24 	198866215	 0.76 	2019
604	The Lone Ranger	260502115	89302115	 0.34 	171200000	 0.66 	2013
605	Super 8	260095986	127004179	 0.49 	133091807	 0.51 	2011
606	Mojin: The Lost Legend	259368448	1243810	 0.00 	258124638	 1.00 	2015
607	Blade Runner 2049	259334548	92054159	 0.35 	167280389	 0.65 	2017
608	Charlie's Angels: Full Throttle	259175788	100830111	 0.39 	158345677	 0.61 	2003
609	Rush Hour 3	258097122	140125968	 0.54 	117971154	 0.46 	2007
610	The Full Monty	257938649	45950122	 0.18 	211988527	 0.82 	1997
611	Kung Fu Yoga	257753889	362657	 0.00 	257391232	 1.00 	2017
612	Annabelle	257579282	84273813	 0.33 	173305469	 0.67 	2014
613	The Village	256697520	114197520	 0.44 	142500000	 0.56 	2003
614	Lost in Hong Kong	256283912	1302281	 0.01 	254981631	 0.99 	2015
615	Erin Brockovich	256271286	125595205	 0.49 	130676081	 0.51 	2000
616	Pegasus	255863112	0	0.00	255863112	 1.00 	2019
617	Marley & Me	255743093	143153751	 0.56 	112589342	 0.44 	2008
618	Halloween	255614941	159342015	 0.62 	96272926	 0.38 	2018
619	Get Out	255589157	176040665	 0.69 	79548492	 0.31 	2016
620	Us	255185482	175084580	 0.69 	80100902	 0.31 	2019
621	Cliffhanger	255000211	84049211	 0.33 	170951000	 0.67 	1993
622	Baahubali 2: The Conclusion	254158390	20186659	 0.08 	233971731	 0.92 	2017
623	Babe	254134910	63658910	 0.25 	190476000	 0.75 	1995
624	Men in Black: International	253890701	80001807	 0.32 	173888894	 0.68 	2019
625	Wild Hogs	253625427	168273550	 0.66 	85351877	 0.34 	2007
626	High School Musical 3: Senior Year	252909177	90559416	 0.36 	162349761	 0.64 	2008
627	Hercules	252712101	99112101	 0.39 	153600000	 0.61 	1997
628	X0Men: Dark Phoenix	252442974	65845974	 0.26 	186597000	 0.74 	2019
629	True Grit	252276927	171243005	 0.68 	81033922	 0.32 	2010
630	Bean	251212670	45319423	 0.18 	205893247	 0.82 	1997
631	American Hustle	251171807	150117807	 0.60 	101054000	 0.40 	2013
632	Enemy of the State	250849789	111549836	 0.44 	139299953	 0.56 	1998
633	You've Got Mail	250821495	115821495	 0.46 	135000000	 0.54 	1998
634	Eragon	250425512	75030163	 0.30 	175395349	 0.70 	2006
635	Brother Bear	250397798	85336277	 0.34 	165061521	 0.66 	2003
636	The Mask of Zorro	250288523	94095523	 0.38 	156193000	 0.62 	1998
637	The Ring	249348933	129128133	 0.52 	120220800	 0.48 	2002
638	The Blair Witch Project	248639099	140539099	 0.57 	108100000	 0.43 	1999
639	Unbreakable	248118121	95011339	 0.38 	153106782	 0.62 	2000
640	Journey to the West: The Demons Strike Back	247585244	880346	 0.00 	246704898	 1.00 	2017
641	Dumb and Dumber	247275374	127175374	 0.51 	120100000	 0.49 	1994
642	Glass	246999039	111048468	 0.45 	135950571	 0.55 	2019
643	Grown Ups 2	246984278	133668525	 0.54 	113315753	 0.46 	2013
644	The Peanuts Movie	246233113	130178411	 0.53 	116054702	 0.47 	2015
645	The Godfather	246120986	134966411	 0.55 	111154575	 0.45 	1972
646	Rango	245724603	123477607	 0.50 	122246996	 0.50 	2011
647	Four Weddings and a Funeral	245700832	52700832	 0.21 	193000000	 0.79 	1994
648	Face/Off	245676146	112276146	 0.46 	133400000	 0.54 	1997
649	Teenage Mutant Ninja Turtles: Out of the Shadows	245623848	82051601	 0.33 	163572247	 0.67 	2016
650	Dark Shadows	245527149	79727149	 0.32 	165800000	 0.68 	2012
651	Dolittle	245438444	77047065	 0.31 	168391379	 0.69 	2020
652	Hulk	245285165	132177234	 0.54 	113107931	 0.46 	2003
653	Love Actually	245203167	59696144	 0.24 	185507023	 0.76 	2003
654	The Bravest	245179562	290217	 0.00 	244889345	 1.00 	2019
655	Welcome to the Sticks	245144417	0	0.00	245144417	 1.00 	2008
