name,date_of_birth,place_of_birth,oscars,oscar_nominations,BAFTA,bafta_nominations,golden_globes,golden_globe_nominations,greatest_performances
Al Pacino,25 April 1940,"East Harlem, New York, United States",1,8,2,5,4,15,"Serpico, Scent of a Woman, Dog Day Afternoon, The Godfather: Part II"
Alan Arkin,26 March 1934,"Brooklyn, New York, United States",1,4,1,3,1,6,"Argo, Little Miss Sunshine, The Heart Is a Lonely Hunter"
Alan Rickman,21 February 1946,"Hammersmith, London, United Kingdom",0,0,1,4,1,1,"Michael Collins, Truly Madly Deeply, Sense and Sensibility"
Albert Finney,9 May 1936,"Charlestown, Salford, United Kingdom",0,5,2,13,2,9,"The Murder on the orient Express, The Dresser, Under the Volcano"
Alec Guinness,2 April 1914,"Maida Vale, London, United Kingdom",1,5,3,7,1,3,"Star Wars, Little Dorrit, The Bridge on the River Kwai"
Anthony Hopkins,31 December 1937,"Margam, United Kingdom",1,4,3,9,0,6,"The Silence of the Lambs, Nixon, The Remains of the Day"
Anthony Quinn,21 April 1915,"Chihuahua, Mexico",2,4,0,2,0,5,"Lust for Life, Viva Zapata!, Alexis Zorbas"
Ben Kingsley,31 December 1943,"Snainton, United Kingdom",1,4,2,4,2,8,"Gandhi, Sexy Beast, House of Sand and Fog"
Benicio Del Toro,19 February 1967,"San Germán, Puerto Rico",1,2,1,2,1,1,"Traffic, 21 Grams, The Pledge"
Bill Murray,21 September 1950,"Evanston, Illinois, United States",0,1,1,1,1,4,"Rushmore, Lost in Translation, Hyde Park on Hudson"
Brad Pitt,18 December 1963,"Shawnee, Oklahoma, United States",1,6,1,5,1,5,"The Curious Case of Benjamin Button, Moneyball, Twelve Monkeys"
Burt Lancaster,2 November 1913,"Manhattan, New York, United States",1,4,2,4,1,5,"Atlantic City, Elmer Gantry, From Here to Eternity"
Cary Grant,18 January 1904,"Horfield, Bristol, United Kingdom",0,2,0,1,0,4,"Charade, Penny Serenade, Not But the Lonely Heart"
Charles Chaplin,16 April 1889,"London, United Kingdom",1,4,0,0,0,0,"The Great Dictator, City Lights, Modern Times"
Charles Laughton,1 July 1899,"Scarborough, United Kingdom",1,3,0,2,0,1,"Mutiny on the Bounty, Witness for the Prosecution, The Private Life of Henry VIII"
Charlton Heston,4 October 1923,"Evanston, Illinois, United States",1,1,0,0,0,3,"Ben-Hur, The Ten Commandments, The Pigeon That Took Rome"
Christian Bale,30 January 1974,"Haverfordwest, United Kingdom",1,2,0,2,1,2,"The Fighter, The Dark Knight, American Hustle"
Christoph Waltz,4 October 1956,"Vienna, Austria",2,2,2,2,2,2,"Carnage, Django Unchained, Inglourious Bastards"
Christopher Plummer,13 December 1929,"Toronto, Canada",1,2,1,1,1,3,"Beginners, The Last Station, The Sound of Music"
Christopher Walken,31 March 1943,"Astoria, New York, United States",1,2,1,2,0,1,"Hairspray, The Deer Hunter, King of New York, Catch Me If You Can"
Clark Gable,1 February 1901,"Cadiz, Ohio, United States",1,3,0,0,0,2,"Gone with the Wind, Mutiny on the Bounty, It Happened One Night"
Clint Eastwood,31 May 1930,"San Francisco, California, United States",2,7,0,3,3,12,"Million Dollar Baby, Unforgiven, Million Dollar Baby, The Good, the Bad, and the Ugly"
Colin Firth,10 September 1960,"Grayshott, United Kingdom",1,2,2,5,1,2,"A Single Man, The King's Speech, Tinker Tailor Soldier Spy"
Daniel Day-Lewis,29 April 1957,"Kensington, London, United Kingdom",3,5,4,6,2,7,"There Will Be Blood, Lincoln, My Left Foot"
Denzel Washington,28 December 1954,"Mount Vernon, New York, United States",2,8,0,0,2,8,"Fences, Glory, Malcolm X, Training Day"
Don Cheadle,29 November 1964,"Kansas City, Missouri, United States",0,1,0,2,2,3,"The Rat Pack, House of Lies, Hotel Rwanda"
Dustin Hoffman,8 August 1937,"Los Angeles, California, United States",2,7,4,10,5,13,"Tootsie, Rain Man, Midnight Cowboy, Kramer vs. Kramer"
Edward Norton,18 August 1969,"Boston, Massachusetts, United States",0,3,0,2,1,2,"Primal Fear, American History X, Everyone Says I Love You"
Gary Cooper,7 May 1901,"Helena, Montana, United States",2,5,0,0,1,2,"High Noon, Sergeant York, Mr. Deeds Goes to Town"
Gary Oldman,21 March 1958,"New Cross, London, United Kingdom",0,1,1,3,0,0,"Prick Up Your Ears, Leon: The Professional, Tinker Tailor Soldier Spy"
Gene Hackman,30 January 1930,"San Bernardino, California, United States",2,5,3,7,3,8,"Unforgiven, Mississippi Burning, The French Connection"
Gene Kelly,23 August 1912,"East Liberty, Pittsburgh, Pennsylvania, United States",0,1,0,0,0,2,"Hello, Dolly!, Anchors Aweigh, An American in Paris"
Geoffrey Rush,6 July 1951,"Toowoomba, Australia",1,4,3,5,2,5,"Shine, Quills, The King's Speech"
George C. Scott,18 October 1927,"Wise, Virginia, United States",1,4,0,3,2,5,"Patton, The Hustler, The Hospital"
Gregory Peck,5 April 1916,"La Jolla, California, United States",1,5,0,2,3,6,"To Kill a Mockingbird, The Boys from Brazil, Gentleman's Agreement"
Harrison Ford,13 July 1942,"Chicago, Illinois, United States",0,1,0,1,0,4,"Witness, Star Wars, The Fugitive"
Heath Ledger,4 April 1979,"Perth, Australia",1,2,1,2,1,2,"Candy, The Dark Knight, Brokeback Mountain"
Henry Fonda,16 May 1905,"Grand Island, Nebraska, United States",1,3,1,2,1,2,"12 Angry Men, On Golden Pond, The Grapes of Wrath"
Hugh Jackman,12 October 1968,"Sydney, Australia",0,1,0,1,1,2,"Logan, The Fountain, Les Miserables, Kate & Leopold"
Humphrey Bogart,25 December 1899,"New York, New York, United States",1,3,0,1,0,0,"Casablanca, The Caine Mutiny, The African Queen"
Ian McKellen,25 May 1939,"Burnley, United Kingdom",0,2,0,4,1,3,"The Lord of the Rings: The Fellowship of the Ring, Richard III, Gods and Monsters"
Jack Lemmon,8 February 1925,"Newton, Massachusetts, United States",2,8,2,8,4,22,"The Apartment, Mister Roberts, Save the Tiger, Some Like It Hot"
Jack Nicholson,22 April 1937,"Neptune City, New Jersey, United States",3,12,4,8,6,17,"The Shining, Chinatown, As Good as It Gets, One Flew Over The Cuckoo's Nest"
James Cagney,17 July 1899,"Lower East Side, New York, United States",1,3,0,0,0,0,"Love Me or Leave Me, Yankee Doodle Dandy, Angles with Dirty Faces"
James Dean,8 February 1931,"Marion, Indiana, United States",0,2,0,2,0,0,"Giant, East of Eden, Rebel Without a Cause"
James Stewart,20 May 1908,"Indiana, Pennsylvania, United States",1,5,0,2,1,3,"Anatomy of a Murder, It's a Wonderful Life, A Philadelphia Story, Mr. Smith Goes to Washington"
Jamie Foxx,13 December 1967,"Terrell, Texas, United States",1,2,1,2,1,3,"Ray, Django Unchained, Collateral"
Jason Robards,26 July 1922,"Chicago, Illinois, United States",2,3,0,2,0,5,"Julia, Melvin and Howard, All the President's Men"
Javier Bardem,1 March 1969,"Municipality of Las Palmas, Spain",1,3,1,2,4,1,"Biutiful, Before Night Falls, No Country for Old Men"
Jeff Bridges,4 December 1949,"Los Angeles, California, United States",1,6,0,2,1,4,"The Big Lebowski, Starman, True Grit, Crazy Heart"
Jeremy Irons,19 September 1948,"Cowes, United Kingdom",1,1,0,2,2,6,"Dead Ringers, Reversal of Fortune, aBrideshead Revisited"
Jim Carrey,17 January 1962,"Newmarket, Canada",0,4,0,1,2,6,"Man on the Moon, The Truman Show, Eternal Sunshine of the Spotless Mind"
Joaquin Phoenix,28 October 1974,"Río Piedras, Puerto Rico",0,3,0,3,1,5,"Her, The Master, Walk the Line"
Joe Pesci,9 February 1943,"Newark, New Jersey, United States",1,2,1,1,0,2,"Casino, Goodfellas, Raging Bull"
John Goodman,20 June 1952,"Affton, Missouri, United States",0,0,0,0,1,5,"Flight, Barton Fink, The Big Lebowski"
John Travolta,18 February 1954,"Englewood, New Jersey, United States",0,2,0,1,1,7,"Saturday Night Fever, Pulp Fiction, Grease"
John Wayne,26 May 1907,"Winterset, Iowa, United States",1,3,0,0,1,1,"True Grit, The Alamo, Sands of Iwo Jima"
Johnny Depp,9 June 1963,"Owensboro, Kentucky, United States",0,3,0,2,1,10,"Ed Wood, Donnie Brasco, Edward Scissorhands"
Jon Voight,29 December 1938,"Yonkers, New York, United States",1,4,1,1,3,9,"Coming Home, Runaway Train, Midnight Cowboy"
Kevin Spacey,26 July 1959,"South Orange, New Jersey, United States",2,2,1,3,1,8,"The Usual Suspects, L.A. Confidential, Se7en, American Beauty"
Kirk Douglas,9 December 1916,"Amsterdam, New York, United States",0,3,0,1,1,3,"Spartacus, Champion, Lust for Life, The Bad and the Beautiful"
Laurence Olivier,22 May 1907,"Dorking, United Kingdom",1,11,2,10,2,5,"Sleuth, Hamlet, Rebecca, Spartacus"
Leonardo DiCaprio,11 November 1974,"Los Angeles, California, United States",1,6,1,4,2,11,"Titanic, Inception, The Revenant, The Wolf of Wall Street, What's Eating Gilbert Grape"
Liam Neeson,7 June 1952,"Ballymena, United Kingdom",0,1,0,1,0,3,"Kinsey, Michael Collins, Schindler's List"
Marlon Brando,3 April 1924,"Omaha, Nebraska, United States",2,8,3,8,2,6,"The Godfather, Apocalypse Now, On the Waterfront, A Street Car Named Desire"
Martin Sheen,3 August 1940,"Dayton, Ohio, United States",0,0,0,2,1,8,"Kennedy, Apocalypse Now, The Subject Wad Roses"
Matt Damon,8 October 1970,"Cambridge, Massachusetts, United States",1,5,0,3,1,7,"Invictus, Good Will Hunting, The Talented Mr. Ripley"
Matthew McConaughey,4 November 1969,"Uvalde, Texas, United States",1,1,0,0,1,1,"Killer Joe, True Detective, Dallas Buyers Club"
Mel Gibson,3 January 1956,"Peekskill, New York, United States",2,3,0,2,1,4,"Ransom, Braveheart, What Women Want"
Michael Caine,14 March 1933,"Rotherhithe, United Kingdom",2,6,1,8,3,12,"The Dark Knight, Educated Rita, The Cider House Rules, Hannah and Her Sisters"
Michael Douglas,25 September 1944,"New Brunswick, New Jersey, United States",2,2,0,2,1,7,"Behind the Candelabra, Wall Street, Wonder Boys, Fatal Attraction"
Morgan Freeman,1 June 1937,"Memphis, Tennessee, United States",1,5,0,0,1,5,"The Shawshank Redemption, Se7en, Glory, Million Dollar Baby"
Nicolas Cage,7 January 1964,"Long Beach, California, United States",1,2,0,2,1,4,"Valley Girl, Leaving Las Vegas, Adaptation"
Orson Welles,6 May 1915,"Kenosha, Wisconsin, United States",0,1,0,1,1,3,"Butterfly, Citizen Kane, Chimes at Midnight"
Paul Newman,26 January 1925,"Shaker Heights, Ohio, United States",1,10,1,5,3,12,"The Hustler, The Verdict, Road to Perdition, The Color of Money"
Peter Finch,28 September 1916,"South Kensington, London, United Kingdom",1,2,5,7,1,2,"Network, Sunday Bloody Sunday, The Flight of the Phoenix"
Peter O'Toole,2 August 1932,"Leeds, United Kingdom",0,8,1,4,4,11,"Lawrence of Arabia, Becket, The Lion in Winter"
Peter Sellers,8 September 1925,"Portsmouth, United Kingdom",0,3,1,4,1,5,"Being There, The Running, Jumping & Standing Still Film, Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
Philip Seymour Hoffman,23 July 1967,"Fairport, New York, United States",1,4,1,5,1,5,"Capote, Doubt, The Master"
Ralph Fiennes,22 December 1962,"Ipswich, United Kingdom",0,2,1,6,0,5,"The Grand Budapest Hotel, Schindler's List, The English Patient"
Richard Burton,10 November 1925,"Pontrhydyfen, United Kingdom",0,7,2,4,2,7,"Equus, My Cousin Rachel, Who's Afraid of Virginia Woolf?"
Robert De Niro,17 August 1943,"Greenwich Village, New York, United States",2,7,0,6,1,8,"Raging Bull, The Deer Hunter, The Godfather: Part II, Goodfellas, Taxi Driver"
Robert Downey Jr.,4 April 1965,"Manhattan, New York, United States",0,2,1,2,3,5,"Chaplin, Tropic Thunder, Sherlock Homes"
Robert Duvall,5 January 1931,"San Diego, California, United States",1,7,1,3,4,7,"The Apostle, Tender Mercies, Lonesome Dove"
Robert Mitchum,6 August 1917,"Bridgeport, Connecticut, United States",0,1,0,1,0,0,"Story of G.I. Joe, The Longest Day, Heaven Knows, Mr. Allison"
Robert Redford,18 August 1936,"Santa Monica, California, United States",1,4,3,4,2,5,"The String, Downhill Racer, Tell Them Willie Boy Is Here"
Robin Williams,21 July 1951,"Chicago, Illinois, United States",1,4,0,2,4,10,"Mrs. Doubtfire, The Fisher King, Good Will Hunting, Dead Poets Society"
Russell Crowe,7 April 1964,"Wellington, New Zealand",1,3,1,3,1,5,"Gladiator, The Insider, A Beautiful Mind, Les Misérables"
Samuel L. Jackson,21 December 1948,"Washington, D.C., United States",0,1,1,1,0,4,"Pulp Fiction, Jackie Brown, A Time to Kill"
Sean Connery,25 August 1930,"Fountainbridge, Edinburgh, United Kingdom",1,1,1,4,1,1,"The Untouchables, The Russia House, The Family Business"
Sean Penn,17 August 1960,"Santa Monica, California, United States",2,5,0,3,1,5,"Milk, I Am Sam, Mystic River"
Sidney Poitier,20 February 1927,"Miami, Florida, United States",1,2,1,6,1,7,"Guess Who's Coming to Dinner, Lilies of the Field, The Defiant Ones, In the Heat of the Night"
Spencer Tracy,5 April 1900,"Milwaukee, Wisconsin, United States",2,9,1,5,1,4,"Guess Who's Coming to Dinner, Boys Town, Captains Courageous, Judgement at Nuremberg"
Steve McQueen,24 March 1930,"Beech Grove, Indiana, United States",0,1,0,0,0,4,"Papillon, The Sand Pebbles, Love with the Proper Stranger"
Tom Cruise,3 July 1962,"Syracuse, New York, United States",0,0,0,0,0,0,"Top Gun, Magnolia, Jerry Maguire, Born on the Fourth of July"
Tom Hanks,9 July 1956,"Concord, California, United States",2,5,0,4,4,8,"Cast Away, Forrest Gump, Philadelphia, Saving Private Ryan"
Tommy Lee Jones,15 September 1946,"San Saba, Texas, United States",1,4,0,4,1,4,"In the Valley of Elah, Lincoln, The Fugitive"
Will Smith,25 September 1968,"Philadelphia, Pennsylvania, United States",0,2,0,0,0,5,"The Pursuit of Happiness, Ali, Concussion"
William Holden,17 April 1918,"O'Fallon, Illinois, United States",1,3,0,2,0,0,"Network, Stalag 17, Sunset Blvd."
Woody Allen,30 November 1935,Mount Eden Hospital,4,24,9,23,2,13,"Annie Hall, Manhattan, Take the Money and Run"